avg_rating,geek_rating,num_voters,rank,release_date,title,url
8.13,5.737,201.0,3978,2017,The Red Dragon Inn 6: Villains,/boardgame/212662/red-dragon-inn-6-villains
6.68,5.737,357.0,3979,2015,Apocalypse Chaos,/boardgame/178007/apocalypse-chaos
7.68,5.737,164.0,3980,2018,Tramways Engineer's Workbook,/boardgame/247935/tramways-engineers-workbook
8.64,5.736,121.0,3981,2016,Tenkatoitsu,/boardgame/214296/tenkatoitsu
6.87,5.736,293.0,3982,2012,Mythic Battles,/boardgame/125996/mythic-battles
7.47,5.736,232.0,3983,2016,Krosmaster Arena 2.0,/boardgame/203719/krosmaster-arena-20
7.8,5.736,162.0,3984,2006,WestFront II,/boardgame/22161/westfront-ii
6.63,5.736,355.0,3985,2016,Dark Dealings,/boardgame/173460/dark-dealings
6.46,5.736,479.0,3986,1976,Submarine,/boardgame/3083/submarine
8.06,5.736,179.0,3987,2019,Dungeons & Dragons: Waterdeep – Dungeon of the Mad Mage,/boardgame/264196/dungeons-dragons-waterdeep-dungeon-mad-mage
6.1,5.736,960.0,3988,2014,Saboteur: The Duel,/boardgame/168215/saboteur-duel
6.29,5.735,763.0,3989,2008,Clue: Harry Potter Edition,/boardgame/38026/clue-harry-potter-edition
7.07,5.735,263.0,3990,2012,Leviathans,/boardgame/63027/leviathans
6.38,5.735,530.0,3991,2016,Kharnage,/boardgame/194196/kharnage
7.64,5.735,164.0,3992,2009,To The Last Man!,/boardgame/21414/last-man
7.29,5.735,223.0,3993,2002,Von Manstein's Backhand Blow,/boardgame/5357/von-mansteins-backhand-blow
6.9,5.707,243.0,4321,2018,Cerberus,/boardgame/256918/cerberus
6.57,5.707,318.0,4322,2014,City Hall,/boardgame/123844/city-hall
6.44,5.706,410.0,4323,2013,Banjooli Xeet,/boardgame/99459/banjooli-xeet
6.87,5.706,253.0,4324,2014,NHL Power Play Team-Building Card Game,/boardgame/158168/nhl-power-play-team-building-card-game
6.3,5.706,450.0,4325,2001,"Rome: Imperium, Circus Maximus, Hannibal vs Rome",/boardgame/4388/rome-imperium-circus-maximus-hannibal-vs-rome
6.46,5.706,378.0,4326,2012,Code of Nine,/boardgame/159141/code-nine
6.41,5.706,385.0,4327,2010,Titania,/boardgame/66613/titania
7.75,5.706,189.0,4328,2018,Gnomopolis,/boardgame/202819/gnomopolis
6.43,5.706,382.0,4329,1663,Whist,/boardgame/13337/whist
6.29,5.706,502.0,4330,2005,Dungeoneer: Dragons of the Forsaken Desert,/boardgame/16443/dungeoneer-dragons-forsaken-desert
6.81,5.706,248.0,4331,2015,Liguria,/boardgame/185021/liguria
7.89,5.705,137.0,4332,2017,Wild Blue Yonder,/boardgame/62230/wild-blue-yonder
6.01,5.705,909.0,4333,2004,Fifth Avenue,/boardgame/9342/fifth-avenue
6.85,5.705,261.0,4334,2018,Roll for Adventure,/boardgame/255683/roll-adventure
6.96,5.705,221.0,4335,1992,Santa Fe,/boardgame/308/santa-fe
6.64,5.705,348.0,4336,2009,Kachina,/boardgame/30024/kachina
6.74,5.705,296.0,4337,1981,Voyage of the B.S.M. Pandora,/boardgame/2678/voyage-bsm-pandora
7.13,5.705,202.0,4338,2007,Yavalath,/boardgame/33767/yavalath
6.4,5.705,387.0,4339,2000,Old Town,/boardgame/5222/old-town
6.75,5.713,302.0,4238,2013,ebbes,/boardgame/143882/ebbes
6.84,5.713,249.0,4239,2015,Pharaoh's Gulo Gulo,/boardgame/175088/pharaohs-gulo-gulo
6.61,5.713,324.0,4240,1992,Tal der Könige,/boardgame/4/tal-der-konige
6.84,5.713,270.0,4241,2018,Dicetopia,/boardgame/178688/dicetopia
7.92,5.713,123.0,4242,2017,18Ireland,/boardgame/196217/18ireland
7.53,5.713,148.0,4243,2010,18NEB,/boardgame/38986/18neb
7.57,5.713,151.0,4244,2011,Hero of Weehawken,/boardgame/100169/hero-weehawken
6.93,5.712,236.0,4245,1998,What Were You Thinking?,/boardgame/2667/what-were-you-thinking
6.3,5.712,512.0,4246,2010,Friesematenten,/boardgame/82402/friesematenten
6.71,5.712,279.0,4247,2011,Say Anything Family Edition,/boardgame/92852/say-anything-family-edition
6.89,5.712,241.0,4248,2018,Spell Smashers,/boardgame/256313/spell-smashers
6.76,5.712,265.0,4249,2015,Wizards of the Wild,/boardgame/166988/wizards-wild
6.76,5.712,290.0,4250,2006,Italia,/boardgame/25008/italia
7.08,5.712,205.0,4251,2010,"The Tide at Sunrise: The Russo-Japanese War, 1904-1905",/boardgame/27965/tide-sunrise-russo-japanese-war-1904-1905
5.98,5.712,1073.0,4252,2000,Al Cabohne,/boardgame/980/al-cabohne
6.13,5.712,684.0,4253,1999,Krieg und Frieden,/boardgame/48/krieg-und-frieden
6.75,5.712,280.0,4254,2013,Letnisko,/boardgame/126000/letnisko
7.21,5.712,195.0,4255,2017,Table Battles,/boardgame/230650/table-battles
6.76,5.712,271.0,4256,2012,Dark Horse,/boardgame/98443/dark-horse
6.28,5.679,424.0,4701,1998,Joan of Arc,/boardgame/64/joan-arc
6.71,5.679,366.0,4702,2016,Checkpoint Charlie,/boardgame/205079/checkpoint-charlie
6.7,5.679,233.0,4703,2015,Completto,/boardgame/181325/completto
6.88,5.679,228.0,4704,1978,Swords & Sorcery,/boardgame/2464/swords-sorcery
7.19,5.679,151.0,4705,2006,18FL,/boardgame/21436/18fl
6.56,5.679,320.0,4706,2015,Resistor_,/boardgame/169530/resistor
6.37,5.679,338.0,4707,2010,Khan,/boardgame/76883/khan
6.39,5.979,1684.0,2340,1986,Polarity,/boardgame/380/polarity
6.68,5.979,889.0,2341,2012,Courtier,/boardgame/122891/courtier
6.61,5.979,1154.0,2342,1988,Clue Master Detective,/boardgame/1561/clue-master-detective
6.45,5.978,1401.0,2343,2009,Livingstone,/boardgame/40444/livingstone
6.52,5.978,1162.0,2344,2014,Subdivision,/boardgame/155173/subdivision
6.96,5.978,651.0,2345,2016,Songbirds,/boardgame/212765/songbirds
6.44,5.978,1452.0,2346,2006,12 Thieves,/boardgame/22278/12-thieves
6.97,5.978,674.0,2347,2013,Ghost Blitz: 5 to 12,/boardgame/148532/ghost-blitz-5-12
7.4,5.977,558.0,2348,2013,Camp Grizzly,/boardgame/143096/camp-grizzly
7.32,5.977,523.0,2349,2015,Apex Theropod Deck-Building Game,/boardgame/156266/apex-theropod-deck-building-game
6.28,5.977,2267.0,2350,1991,Master Labyrinth,/boardgame/437/master-labyrinth
6.74,5.977,881.0,2351,2009,Kuhhandel Master,/boardgame/56786/kuhhandel-master
6.34,5.977,2191.0,2352,1994,Catch Phrase!,/boardgame/2582/catch-phrase
6.75,5.977,834.0,2353,2014,Haru Ichiban,/boardgame/165662/haru-ichiban
7.17,5.977,538.0,2354,2016,Qwixx Deluxe,/boardgame/208775/qwixx-deluxe
6.16,5.976,3771.0,2355,2008,Ticket to Ride: The Card Game,/boardgame/34127/ticket-ride-card-game
6.42,5.976,1440.0,2356,2006,Wicked Witches Way,/boardgame/28025/wicked-witches-way
7.19,5.976,627.0,2357,1985,Russian Front,/boardgame/329/russian-front
7.35,5.976,456.0,2358,1992,SPQR,/boardgame/1444/spqr
6.35,5.685,374.0,4604,2011,Da ist der Wurm drin,/boardgame/91671/da-ist-der-wurm-drin
7.64,5.685,151.0,4605,1993,Over the Reich,/boardgame/8316/over-reich
7.64,5.685,137.0,4606,1996,CrossFire: Rules & Organizations for Company Level WW2 Gaming,/boardgame/8066/crossfire-rules-organizations-company-level-ww2-ga
6.45,5.685,325.0,4607,2017,Sticky Chameleons,/boardgame/220778/sticky-chameleons
7.4,5.685,136.0,4608,2000,1826: Railroading in France and Belgium from 1826,/boardgame/1313/1826-railroading-france-and-belgium-1826
6.44,5.685,339.0,4609,2013,Mount Everest,/boardgame/147624/mount-everest
7.17,5.685,158.0,4610,2002,Second World War at Sea: Bomb Alley,/boardgame/5635/second-world-war-sea-bomb-alley
6.67,5.684,249.0,4611,1996,Wat'n dat!?,/boardgame/1072/watn-dat
7.87,5.684,120.0,4612,1998,"Barbarossa: Army Group Center, 1941",/boardgame/1583/barbarossa-army-group-center-1941
6.8,5.684,209.0,4613,2017,Whozit?,/boardgame/218126/whozit
7.21,5.684,164.0,4614,1992,Victory at Midway,/boardgame/4226/victory-midway
7.41,5.684,160.0,4615,2006,Anima Tactics,/boardgame/27028/anima-tactics
6.8,5.684,251.0,4616,2018,Age of Towers,/boardgame/214989/age-towers
6.98,5.684,188.0,4617,2018,Critical Mass: Patriot vs Iron Curtain,/boardgame/172008/critical-mass-patriot-vs-iron-curtain
5.97,5.684,869.0,4618,2007,Army of Frogs,/boardgame/31449/army-frogs
7.12,5.684,284.0,4619,2015,Mint Tin Mini Apocalypse,/boardgame/181370/mint-tin-mini-apocalypse
6.48,5.684,310.0,4620,2015,Kenjin,/boardgame/172362/kenjin
